JoiningYear,PaymentTier,Age,Gender,ExperienceInCurrentDomain,LeaveOrNot,Education_Bachelors,Education_Masters,Education_PHD,City_Bangalore,City_New Delhi,City_Pune,EverBenched_No,EverBenched_Yes
2017,3,34,Male,0,0,1,0,0,1,0,0,1,0
2013,1,28,Female,3,1,1,0,0,0,0,1,1,0
2014,3,38,Female,2,0,1,0,0,0,1,0,1,0
2016,3,27,Male,5,1,0,1,0,1,0,0,1,0
2017,3,24,Male,2,1,0,1,0,0,0,1,0,1
2016,3,22,Male,0,0,1,0,0,1,0,0,1,0
2015,3,38,Male,0,0,1,0,0,0,1,0,1,0
2016,3,34,Female,2,1,1,0,0,1,0,0,1,0
2016,3,23,Male,1,0,1,0,0,0,0,1,1,0
2017,2,37,Male,2,0,0,1,0,0,1,0,1,0
2012,3,27,Male,5,1,0,1,0,1,0,0,1,0
2016,3,34,Male,3,0,1,0,0,0,0,1,1,0
2018,3,32,Male,5,1,1,0,0,0,0,1,0,1
2016,3,39,Male,2,0,1,0,0,1,0,0,1,0
2012,3,37,Male,4,0,1,0,0,1,0,0,1,0
2017,1,29,Male,3,0,1,0,0,1,0,0,1,0
2014,3,34,Female,2,0,1,0,0,1,0,0,1,0
2014,3,34,Male,4,0,1,0,0,0,0,1,1,0
2015,2,30,Female,0,1,1,0,0,0,0,1,1,0
2016,2,22,Female,0,1,1,0,0,0,1,0,1,0
2012,3,37,Male,0,0,1,0,0,1,0,0,1,0
2017,2,28,Male,4,0,0,1,0,0,1,0,1,0
2017,2,36,Male,3,0,1,0,0,0,1,0,1,0
2015,3,27,Male,5,0,1,0,0,1,0,0,0,1
2017,3,29,Male,4,0,1,0,0,1,0,0,1,0
2013,3,22,Female,0,0,1,0,0,1,0,0,0,1
2016,3,37,Male,2,0,1,0,0,1,0,0,1,0
2015,3,23,Male,1,0,1,0,0,1,0,0,1,0
2013,2,31,Female,2,1,1,0,0,0,0,1,1,0
2017,2,30,Female,2,0,0,1,0,0,1,0,1,0
2013,3,25,Male,3,0,0,0,1,0,1,0,1,0
2014,3,23,Male,1,0,1,0,0,1,0,0,1,0
2018,3,26,Male,4,1,1,0,0,1,0,0,1,0
2016,3,40,Male,5,0,1,0,0,1,0,0,1,0
2017,2,37,Female,0,1,1,0,0,0,0,1,1,0
2014,1,30,Female,3,0,1,0,0,1,0,0,1,0
2012,3,29,Male,3,0,1,0,0,0,1,0,1,0
2018,2,34,Female,0,1,1,0,0,0,1,0,1,0
2017,2,29,Female,2,1,1,0,0,0,0,1,1,0
2014,3,30,Male,4,0,1,0,0,0,0,1,0,1
2015,3,36,Male,1,0,1,0,0,1,0,0,1,0
2017,2,23,Male,1,0,0,1,0,0,1,0,1,0
2013,3,30,Male,3,1,1,0,0,1,0,0,1,0
2014,3,36,Male,0,0,1,0,0,1,0,0,1,0
2015,3,39,Male,4,0,1,0,0,0,0,1,1,0
2014,3,23,Female,1,0,1,0,0,1,0,0,1,0
2012,3,27,Male,5,0,0,0,1,0,1,0,1,0
2013,3,35,Male,2,0,0,1,0,0,1,0,1,0
2017,2,34,Male,0,0,0,1,0,0,1,0,1,0
2013,3,30,Female,1,0,1,0,0,1,0,0,1,0
2017,3,34,Male,2,0,0,0,1,0,1,0,1,0
2015,2,26,Female,4,1,1,0,0,0,0,1,1,0
2016,3,34,Female,0,0,1,0,0,1,0,0,1,0
2014,3,31,Female,5,0,1,0,0,1,0,0,0,1
2017,3,31,Female,5,0,1,0,0,0,1,0,0,1
2013,3,28,Male,2,0,0,0,1,0,1,0,1,0
2016,3,38,Male,2,0,1,0,0,1,0,0,1,0
2014,3,39,Female,2,0,0,1,0,0,0,1,1,0
2013,3,32,Male,4,0,1,0,0,0,0,1,1,0
2017,2,36,Male,2,1,0,1,0,0,0,1,1,0
2013,3,29,Male,3,0,0,1,0,0,1,0,1,0
2015,3,30,Male,5,0,1,0,0,1,0,0,1,0
2013,2,25,Male,3,1,0,0,1,1,0,0,1,0
2014,1,22,Female,0,1,1,0,0,0,0,1,1,0
2016,3,34,Male,4,0,1,0,0,1,0,0,1,0
2018,3,40,Male,1,1,1,0,0,1,0,0,1,0
2013,3,26,Male,4,0,0,0,1,1,0,0,1,0
2014,3,28,Male,0,0,1,0,0,0,1,0,1,0
2015,3,24,Female,2,0,1,0,0,1,0,0,1,0
2017,3,40,Female,2,1,0,1,0,1,0,0,1,0
2018,3,23,Female,1,1,1,0,0,1,0,0,1,0
2017,3,31,Male,4,0,0,1,0,1,0,0,1,0
2014,3,25,Female,3,0,1,0,0,0,0,1,1,0
2014,1,27,Male,5,0,1,0,0,1,0,0,1,0
2017,2,25,Female,3,1,0,1,0,0,1,0,1,0
