Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target
1,15,1,9254,1,1,160.0,1,1,3,3,3,142.5,1,0,0,0,1,0,19,0,0,6,6,6,14.0,0,0,6,6,6,13.666666666666666,0,13.9,-0.3,0.79,1
2,39,1,9991,0,19,133.1,1,37,37,9,7,114.8,0,0,1,1,1,0,50,0,0,5,10,5,11.857142857142858,0,0,5,17,5,11.5,5,16.2,0.3,-0.92,1
1,1,1,9238,1,1,138.0,1,1,19,4,7,123.0,1,0,1,0,0,0,18,0,0,6,9,5,11.4,0,0,6,14,2,13.5,0,8.9,1.4,3.51,0
1,1,2,9853,1,1,133.0,1,19,37,4,9,130.2,1,0,0,1,0,0,19,0,0,6,6,0,0.0,0,0,6,0,0,0.0,0,12.7,3.7,-1.7,0
1,1,1,9773,1,1,127.0,1,19,37,9,3,120.7,1,0,0,1,0,0,20,0,0,6,6,5,13.2,0,0,6,7,0,0.0,0,15.5,2.8,-4.06,0
1,18,1,9238,1,1,137.0,1,19,38,5,8,137.4,1,0,0,1,0,0,18,0,0,6,10,1,12.0,0,0,6,14,2,11.0,0,10.8,1.4,1.74,0
1,1,1,9853,1,1,140.0,1,19,19,7,7,124.6,1,0,0,1,0,0,18,0,0,7,7,6,11.666666666666666,0,0,7,8,6,13.5,0,16.2,0.3,-0.92,0
1,1,3,171,1,1,122.0,1,1,1,9,8,120.3,0,0,0,1,0,1,21,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,11.1,0.6,2.02,1
1,18,4,9556,1,1,127.0,1,1,38,4,7,121.8,1,0,0,1,0,0,20,0,0,7,14,7,11.4375,0,0,8,9,8,11.425,0,12.7,3.7,-1.7,0
1,1,1,9238,1,1,151.0,1,19,38,9,9,157.0,1,0,1,1,0,1,18,0,0,6,8,5,11.6,0,0,6,12,4,11.0,0,7.6,2.6,0.32,0
1,1,1,9085,1,1,138.0,1,19,19,3,3,131.0,1,0,0,1,0,0,18,0,0,5,9,5,12.666666666666666,2,0,5,7,4,13.0,0,9.4,-0.8,-3.12,0
1,51,1,9070,1,1,125.0,1,42,3,125,124,130.0,1,0,0,1,1,0,20,0,2,6,7,6,12.833333333333334,0,0,6,9,4,13.4,0,8.9,1.4,3.51,1
